seq;Kingdom;Phylum;Class;Order;Family;Genus;Species
seq1094;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__
seq1310;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Ochroconis;s__Ochroconis constricta
seq1312;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__;f__;g__;s__
seq1314;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__
seq1317;k__Fungi;p__Mucoromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__unidentified
seq1316;k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified
seq1416;k__Fungi;p__Basidiomycota;c__;o__;f__;g__;s__
seq1417;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__unidentified
seq1414;k__Fungi;p__;c__;o__;f__;g__;s__
seq1415;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__
seq1410;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Gymnoascaceae;g__Gymnoascus;s__unidentified
seq1418;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__unidentified;s__unidentified
seq1388;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__;g__;s__
seq1386;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__;g__;s__
seq1387;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Lycoperdon;s__
seq1384;k__Fungi;p__Mucoromycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella elongata
seq1385;k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__
seq1382;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__
seq1383;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__;f__;g__;s__
seq1381;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__
seq1250;k__Fungi;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__Acaulospora entreriana
seq1252;k__Fungi;p__Mucoromycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella elongata
seq1256;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__;s__
seq1259;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__
seq1436;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__Myxotrichaceae;g__Oidiodendron;s__
seq1378;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma;s__unidentified
seq1437;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__
seq1175;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__Paraphoma chrysanthemicola
seq1174;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__unidentified
seq1177;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__;s__
seq1171;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__unidentified;g__unidentified;s__unidentified
seq1170;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__;g__;s__
seq1172;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__;s__
seq1179;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__unidentified;s__unidentified
seq1021;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__unidentified
seq1439;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__;g__;s__
seq1434;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__
seq1029;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__;s__
seq1513;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__unidentified;g__unidentified;s__unidentified
seq1512;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__unidentified;s__unidentified
seq1028;k__Fungi;p__Chytridiomycota;c__Monoblepharidomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified
seq1515;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified
seq1514;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__unidentified;s__unidentified
seq1452;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__;f__;g__;s__
seq1450;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__unidentified
seq1457;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__unidentified
seq1431;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__;s__
seq1432;k__Fungi;p__Mucoromycota;c__unidentified;o__Calcarisporiellales;f__Calcarisporiellaceae;g__Calcarisporiella;s__unidentified
seq1228;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__;s__
seq1222;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__;s__
seq1224;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Waitea;s__unidentified
seq1226;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium merismoides
seq1056;k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__unidentified;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora gracilis
seq1057;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Togniniales;f__Togniniaceae;g__Phaeoacremonium;s__
seq1054;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Helicoma;s__
seq1053;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__;g__;s__
seq1051;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__
seq1355;k__Fungi;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__;s__
seq1354;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma flava
seq1350;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__unidentified;s__unidentified
seq1058;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__unidentified;s__unidentified
seq1352;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Drechslera;s__
seq1128;k__Fungi;p__Mucoromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__unidentified
seq1129;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__unidentified;g__unidentified;s__unidentified
seq1124;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__;s__
seq1125;k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified
seq1122;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Amaurodon;s__unidentified
seq1123;k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__unidentified;f__unidentified;g__Sakaguchia;s__
seq1120;k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__unidentified;g__unidentified;s__unidentified
seq1121;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma dimennae
seq1459;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__;g__;s__
seq1453;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium paneum
seq1455;k__Fungi;p__Chytridiomycota;c__Monoblepharidomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified
seq1069;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__;s__
seq1068;k__Fungi;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Scutellospora;s__
seq1067;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__unidentified
seq1066;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Rachicladosporium;s__
seq1065;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__unidentified;s__unidentified
